Game,Level,Score,TimeStep,TimeMinute
Starter Example Result,,,,
0,2,8060,3172,0.002483333333333333
1,1,5390,2281,9.166666666666666E-4
2,1,2290,1100,4.166666666666667E-4
3,3,14720,5814,0.002033333333333333
4,6,24560,11738,0.003816666666666667
5,1,7020,2528,5.833333333333334E-4
6,2,8900,3845,5.333333333333334E-4
7,3,13690,5836,7.5E-4
8,4,19510,9750,0.0012833333333333334
9,1,5140,1973,2.666666666666667E-4
10,5,23250,10634,0.0014666666666666667
11,4,20410,8044,0.00105
12,3,13200,5842,0.001
13,4,18000,7146,9.333333333333333E-4
14,2,8620,4699,6.166666666666666E-4
15,2,9930,5080,6.0E-4
16,2,8110,5275,6.0E-4
17,4,14800,8435,0.0010666666666666667
18,3,17200,5091,7.0E-4
19,2,6040,2169,2.8333333333333335E-4
20,2,5460,2399,3.1666666666666665E-4
21,2,6860,1903,2.666666666666667E-4
22,2,8620,4046,6.333333333333333E-4
23,5,26090,10348,0.0013833333333333334
24,2,9740,4442,5.333333333333334E-4
25,2,5230,2468,3.333333333333333E-4
26,1,1340,762,1.1666666666666667E-4
27,4,21940,8654,0.0011666666666666668
28,8,42940,17308,0.0023333333333333335
29,5,25500,11696,0.00155
30,2,5330,3350,4.166666666666667E-4
31,5,20810,11785,0.0015
32,3,13820,5544,7.0E-4
33,4,17730,8647,0.0010833333333333333
34,3,17570,6628,7.833333333333334E-4
35,1,5870,1752,2.0E-4
36,2,8170,3834,5.166666666666667E-4
37,3,13690,7389,8.833333333333333E-4
38,2,10990,3552,4.5E-4
39,4,18900,9428,0.0012
40,2,4770,2169,2.8333333333333335E-4
41,2,6240,2444,3.0E-4
42,5,25170,10906,0.00135
43,2,8580,3763,5.0E-4
44,2,8510,3084,4.6666666666666666E-4
45,3,25380,6605,8.5E-4
46,2,9970,3025,3.8333333333333334E-4
47,3,22180,6189,7.5E-4
48,4,16860,8212,0.001
49,2,9110,3646,4.6666666666666666E-4
50,4,20100,8692,0.0011
51,2,8330,4278,5.833333333333334E-4
52,2,5640,2943,3.5E-4
53,5,23510,9425,0.0011833333333333333
54,6,32150,13298,0.0016166666666666666
55,6,30050,14232,0.0018666666666666666
56,3,16680,6356,8.0E-4
57,4,17930,7176,9.333333333333333E-4
58,4,23690,6862,9.166666666666666E-4
59,4,18940,9002,0.0011166666666666666
60,5,28310,11437,0.0014833333333333332
61,3,18560,6527,8.333333333333334E-4
62,5,21990,11194,0.0014
63,4,17940,7890,9.833333333333332E-4
64,3,13900,6747,8.333333333333334E-4
65,1,5780,2694,3.0E-4
66,1,7990,2385,2.8333333333333335E-4
67,9,41610,17302,0.0021833333333333336
68,1,3310,2131,2.3333333333333333E-4
69,2,6950,2856,3.5E-4
70,2,6740,2796,3.6666666666666667E-4
71,8,33460,16189,0.0021
72,2,8230,2544,3.0E-4
73,4,17910,9761,0.0012
74,2,9790,3812,4.6666666666666666E-4
75,5,21800,10027,0.0012666666666666666
76,3,12970,4925,6.333333333333333E-4
77,8,33530,16336,0.002116666666666667
78,2,9360,5136,6.333333333333333E-4
79,2,7220,4865,6.0E-4
80,2,7090,3194,4.333333333333333E-4
81,6,29060,12272,0.0015666666666666667
82,3,15040,5140,6.5E-4
83,2,12360,3824,5.0E-4
84,5,23340,9326,0.0011666666666666668
85,1,6090,2085,2.1666666666666666E-4
86,5,22860,9390,0.0012
87,3,13930,5927,7.0E-4
88,3,15130,6078,7.833333333333334E-4
89,3,14860,7328,9.333333333333333E-4
90,2,9870,2897,4.0E-4
91,2,5680,2236,2.8333333333333335E-4
92,1,5540,1991,2.1666666666666666E-4
93,4,18110,7537,0.0011
94,4,22490,8583,0.0010666666666666667
95,1,5150,2448,2.666666666666667E-4
96,3,15170,5674,6.833333333333333E-4
97,3,19930,7056,8.5E-4
98,3,13860,4773,6.333333333333333E-4
99,2,8710,4034,5.0E-4
Game,Level,Score,TimeStep,TimeMinute
Starter Example Result,,,,
0,2,9460,3397,0.0025666666666666667
1,2,6330,2418,0.0011833333333333333
2,4,20380,8267,0.0031833333333333336
3,4,18240,8150,0.0013833333333333334
4,7,31910,13861,0.002616666666666667
5,2,7030,2780,3.8333333333333334E-4
6,6,27120,11331,0.00155
7,1,3630,1463,2.0E-4
8,1,5520,2007,2.8333333333333335E-4
9,2,9500,3636,5.333333333333334E-4
10,2,12900,4429,6.333333333333333E-4
11,3,20900,6574,9.333333333333333E-4
12,5,27210,10199,0.0013833333333333334
13,5,24860,9244,0.0013666666666666666
14,2,7460,2613,3.333333333333333E-4
15,2,11020,4048,5.333333333333334E-4
16,4,20200,6648,8.833333333333333E-4
17,5,27410,10016,0.00135
18,2,6040,2185,3.0E-4
19,3,14870,6623,8.166666666666667E-4
20,1,7100,2227,2.666666666666667E-4
21,4,17230,6902,0.001
22,1,6170,2055,2.666666666666667E-4
23,4,19480,9636,0.0012666666666666666
24,2,5800,2344,3.333333333333333E-4
25,7,28050,14813,0.0021833333333333336
26,2,7380,2871,4.166666666666667E-4
27,2,5800,3233,4.166666666666667E-4
28,1,4180,1302,1.8333333333333334E-4
29,2,7790,3787,5.0E-4
30,2,9360,2791,4.0E-4
31,5,27360,10411,0.00155
32,1,6010,1983,2.666666666666667E-4
33,1,5200,1708,2.3333333333333333E-4
34,1,5850,2027,2.5E-4
